participant,age,gender,academic_status,prof_exp_years,acc_and1,acc_and2,acc_or1,acc_and3,acc_placebo1,acc_or2,acc_xor1,acc_xor2,acc_or3,acc_xor3,acc_placebo2,acc_not1,acc_lshift1,acc_lshift2,acc_not2,acc_and4,acc_rshift1,acc_not3,acc_xor4,acc_lshift3,acc_lshift4,acc_palcebo3,acc_not4,acc_rshift2,acc_rshift3,acc_and5,acc_rshift4,res_and1,res_and2,res_or1,res_and3,res_placebo1,res_or2,res_xor1,res_xor2,res_or3,res_xor3,res_placebo2,res_not1,res_lshift1,res_lshift2,res_not2,res_and4,res_rshift1,res_not3,res_xor4,res_lshift3,res_lshift4,res_palcebo3,res_not4,res_rshift2,res_rshift3,res_and5,res_rshift4
1,25,male,phd,4,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,4810,4237,8796,2848,8228,4186,3069,11369,12980,5718,4950,8144,4094,8253,100,7093,4729,3646,15669,4471,5657,7652,1858,139,5886,9324,5631
2,19,other,junior,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4478,30343,6373,5002,16492,2303,7145,19962,5695,5103,35053,9035,6643,4396,2892,4781,5769,1859,8065,7653,7789,14861,3019,3713,5554,19807,7178
3,26,female,phd,2,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,263,722,11861,6262,12427,11376,105868,10954,14869,94702,9889,11249,46155,3836,806,34974,2336,3596,15821,6247,1424,1262,975,791,574,434,287
4,31,male,phd,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7635,16670,8756,8389,29015,11336,21934,19663,6651,36775,6892,11318,6840,4872,8297,8799,5690,3740,4577,5725,6084,13351,4118,5685,8111,19920,5807
5,28,male,phd,5+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5035,6075,15601,9493,6926,9391,6452,28420,29359,29540,14114,10368,8101,20976,6205,13730,19320,6866,27012,33284,8398,12337,5472,8906,7911,6538,9485
6,27,female,master,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,15904,20888,32649,16357,17115,21810,16310,16063,17490,14651,3748,3885,18216,18642,3432,17316,16540,8881,17060,19089,91,34470,1766,31421,16866,14417,3135
7,28,male,master,5+,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,5114,9303,6554,17261,19155,12342,12015,7275,4316,10448,6156,6583,6732,11021,5558,17253,16940,3623,10659,14618,12967,3877,1952,3904,8457,5711,6109
8,27,male,professional,5+,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,3266,2897,11930,9130,12684,9669,23662,1784,12001,6061,5951,13926,2778,7255,2442,3781,1765,4313,7237,2000,2135,2772,3285,5169,4758,4566,3435
9,26,male,professional,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,4784,26279,11464,13736,13136,5576,12640,11215,20216,15176,1575,1128,22367,9824,3215,5368,6776,4528,11471,3295,1616,1168,5057,4735,2873,6383,8007
10,20,female,senior,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,6396,3341,10325,8240,12486,5559,3995,17368,7826,5992,4430,4526,9882,8623,6800,6279,8958,2494,4750,1066,10148,1888,2332,5490,1264,4563,4798
11,27,male,master,2,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,10667,10059,23432,11830,18096,10782,25895,10829,8854,8990,11677,11552,11593,9034,9188,9798,18365,8553,9043,9411,9126,9179,8743,10470,10167,8265,14601
12,27,male,master,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,318,293,12796,1520,12504,5968,9431,5776,1603,8072,49569,1031,868,638,489,897,560,726,446,740,7432,949,474,726,410,387,403
13,28,male,phd,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,8240,9095,11312,12359,15248,11823,59056,19400,23958,10024,58152,14200,14024,5767,8295,26736,13375,6271,16841,6871,7912,23887,9272,9424,7431,7360,6640
14,23,male,master,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1986,625,1688,1220,3848,4586,5797,1736,3140,6497,4812,18662,5855,2468,2271,12176,1384,3054,1549,4758,1749,1786,1723,2647,2118,2206,3311
