participant,age,gender,academic_status,prof_exp_years,acc_and1,acc_and2,acc_and3,acc_and4,acc_and5,res_and1,res_and2,res_and3,res_and4,res_and5
1,25,male,phd,4,0,1,1,1,0,4810,4237,2848,7093,9324
2,19,other,junior,0,1,0,1,1,1,4478,30343,5002,4781,19807
3,26,female,phd,2,1,0,1,1,1,263,722,6262,34974,434
4,31,male,phd,4,1,1,1,1,1,7635,16670,8389,8799,19920
5,28,male,phd,5+,1,1,1,1,1,5035,6075,9493,13730,6538
6,27,female,master,3,1,1,1,1,0,15904,20888,16357,17316,14417
7,28,male,master,5+,0,1,1,1,1,5114,9303,17261,17253,5711
8,27,male,professional,5+,0,1,1,1,0,3266,2897,9130,3781,4566
9,26,male,professional,0,1,0,1,1,1,4784,26279,13736,5368,6383
10,20,female,senior,0,1,1,1,1,1,6396,3341,8240,6279,4563
11,27,male,master,2,1,1,1,1,0,10667,10059,11830,9798,8265
12,27,male,master,3,0,0,0,1,1,318,293,1520,897,387
13,28,male,phd,0,1,1,1,0,1,8240,9095,12359,26736,7360
14,23,male,master,1,0,0,1,0,0,1986,625,1220,12176,2206
15,29,male,freshman,4,1,0,1,1,0,3240,12836,7499,5515,2101
16,26,male,master,2,1,1,1,1,1,14176,38792,20654,13801,23900
17,21,male,freshman,2,1,1,1,1,1,4026,26393,35719,8245,10159
18,25,male,master,2,1,1,1,1,0,12456,8125,17213,9498,3416
19,22,male,senior,2,1,1,1,1,1,6055,7154,7819,6930,6528
20,27,female,master,0,1,1,1,1,1,7471,9208,6270,9006,7968
21,30,male,phd,5+,1,1,1,1,1,8210,4080,12309,20520,11746
22,26,male,master,4,1,0,1,1,0,14075,24008,10357,19237,5168
23,25,male,phd,4,1,1,1,1,1,8674,2355,7302,6362,8637
24,26,male,freshman,1,1,1,1,0,0,6306,9342,12918,7741,5306
