participants,age,gender,academic_status,prof_exp_years,operators,accuracy,response time
1,25,male,phd,4,1,0,4810
1,25,male,phd,4,2,1,4237
1,25,male,phd,4,4,1,2848
1,25,male,phd,4,16,1,7093
1,25,male,phd,4,26,0,9324
2,19,other,junior,0,1,1,4478
2,19,other,junior,0,2,0,30343
2,19,other,junior,0,4,1,5002
2,19,other,junior,0,16,1,4781
2,19,other,junior,0,26,1,19807
3,26,female,phd,2,1,1,263
3,26,female,phd,2,2,0,722
3,26,female,phd,2,4,1,6262
3,26,female,phd,2,16,1,34974
3,26,female,phd,2,26,1,434
4,31,male,phd,4,1,1,7635
4,31,male,phd,4,2,1,16670
4,31,male,phd,4,4,1,8389
4,31,male,phd,4,16,1,8799
4,31,male,phd,4,26,1,19920
5,28,male,phd,5+,1,1,5035
5,28,male,phd,5+,2,1,6075
5,28,male,phd,5+,4,1,9493
5,28,male,phd,5+,16,1,13730
5,28,male,phd,5+,26,1,6538
6,27,female,master,3,1,1,15904
6,27,female,master,3,2,1,20888
6,27,female,master,3,4,1,16357
6,27,female,master,3,16,1,17316
6,27,female,master,3,26,0,14417
7,28,male,master,5+,1,0,5114
7,28,male,master,5+,2,1,9303
7,28,male,master,5+,4,1,17261
7,28,male,master,5+,16,1,17253
7,28,male,master,5+,26,1,5711
8,27,male,professional,5+,1,0,3266
8,27,male,professional,5+,2,1,2897
8,27,male,professional,5+,4,1,9130
8,27,male,professional,5+,16,1,3781
8,27,male,professional,5+,26,0,4566
9,26,male,professional,0,1,1,4784
9,26,male,professional,0,2,0,26279
9,26,male,professional,0,4,1,13736
9,26,male,professional,0,16,1,5368
9,26,male,professional,0,26,1,6383
10,20,female,senior,0,1,1,6396
10,20,female,senior,0,2,1,3341
10,20,female,senior,0,4,1,8240
10,20,female,senior,0,16,1,6279
10,20,female,senior,0,26,1,4563
11,27,male,master,2,1,1,10667
11,27,male,master,2,2,1,10059
11,27,male,master,2,4,1,11830
11,27,male,master,2,16,1,9798
11,27,male,master,2,26,0,8265
12,27,male,master,3,1,0,318
12,27,male,master,3,2,0,293
12,27,male,master,3,4,0,1520
12,27,male,master,3,16,1,897
12,27,male,master,3,26,1,387
13,28,male,phd,0,1,1,8240
13,28,male,phd,0,2,1,9095
13,28,male,phd,0,4,1,12359
13,28,male,phd,0,16,0,26736
13,28,male,phd,0,26,1,7360
14,23,male,master,1,1,0,1986
14,23,male,master,1,2,0,625
14,23,male,master,1,4,1,1220
14,23,male,master,1,16,0,12176
14,23,male,master,1,26,0,2206
15,29,male,freshman,4,1,1,3240
15,29,male,freshman,4,2,0,12836
15,29,male,freshman,4,4,1,7499
15,29,male,freshman,4,16,1,5515
15,29,male,freshman,4,26,0,2101
16,26,male,master,2,1,1,14176
16,26,male,master,2,2,1,38792
16,26,male,master,2,4,1,20654
16,26,male,master,2,16,1,13801
16,26,male,master,2,26,1,23900
17,21,male,freshman,2,1,1,4026
17,21,male,freshman,2,2,1,26393
17,21,male,freshman,2,4,1,35719
17,21,male,freshman,2,16,1,8245
17,21,male,freshman,2,26,1,10159
18,25,male,master,2,1,1,12456
18,25,male,master,2,2,1,8125
18,25,male,master,2,4,1,17213
18,25,male,master,2,16,1,9498
18,25,male,master,2,26,0,3416
19,22,male,senior,2,1,1,6055
19,22,male,senior,2,2,1,7154
19,22,male,senior,2,4,1,7819
19,22,male,senior,2,16,1,6930
19,22,male,senior,2,26,1,6528
20,27,female,master,0,1,1,7471
20,27,female,master,0,2,1,9208
20,27,female,master,0,4,1,6270
20,27,female,master,0,16,1,9006
20,27,female,master,0,26,1,7968
21,30,male,phd,5+,1,1,8210
21,30,male,phd,5+,2,1,4080
21,30,male,phd,5+,4,1,12309
21,30,male,phd,5+,16,1,20520
21,30,male,phd,5+,26,1,11746
22,26,male,master,4,1,1,14075
22,26,male,master,4,2,0,24008
22,26,male,master,4,4,1,10357
22,26,male,master,4,16,1,19237
22,26,male,master,4,26,0,5168
23,25,male,phd,4,1,1,8674
23,25,male,phd,4,2,1,2355
23,25,male,phd,4,4,1,7302
23,25,male,phd,4,16,1,6362
23,25,male,phd,4,26,1,8637
24,26,male,freshman,1,1,1,6306
24,26,male,freshman,1,2,1,9342
24,26,male,freshman,1,4,1,12918
24,26,male,freshman,1,16,0,7741
24,26,male,freshman,1,26,0,5306
