participant,age,gender,academic_status,prof_exp_years,acc_lshift1,acc_lshift2,acc_lshift3,acc_lshift4,res_lshift1,res_lshift2,res_lshift3,res_lshift4
1,25,male,phd,4,1,1,1,0,4094,8253,4471,5657
2,19,other,junior,0,1,1,1,1,6643,4396,7653,7789
3,26,female,phd,2,1,0,1,0,46155,3836,6247,1424
4,31,male,phd,4,1,1,1,1,6840,4872,5725,6084
5,28,male,phd,5+,1,1,1,1,8101,20976,33284,8398
6,27,female,master,3,1,1,1,0,18216,18642,19089,91
7,28,male,master,5+,0,1,0,1,6732,11021,14618,12967
8,27,male,professional,5+,1,1,0,1,2778,7255,2000,2135
9,26,male,professional,0,1,1,0,0,22367,9824,3295,1616
10,20,female,senior,0,1,1,1,1,9882,8623,1066,10148
11,27,male,master,2,1,0,0,0,11593,9034,9411,9126
12,27,male,master,3,0,0,0,0,868,638,740,7432
13,28,male,phd,0,1,1,1,1,14024,5767,6871,7912
14,23,male,master,1,0,1,0,0,5855,2468,4758,1749
15,29,male,freshman,4,1,1,1,1,4581,5084,8115,11147
16,26,male,master,2,1,0,1,1,18511,18187,34836,15985
17,21,male,freshman,2,1,1,1,1,34223,23153,19203,2767
18,25,male,master,2,1,1,1,0,23799,14894,1743,16423
19,22,male,senior,2,0,1,0,1,51993,24404,15844,5660
20,27,female,master,0,1,1,1,1,16834,20148,19825,6112
21,30,male,phd,5+,0,1,1,1,26585,24383,11279,9568
22,26,male,master,4,1,1,1,1,7303,9411,13949,8266
23,25,male,phd,4,0,0,0,1,8773,8010,9190,3941
24,26,male,freshman,1,0,1,0,1,3787,1636,15186,2960
