participants,age,gender,academic_status,prof_exp_years,operators,accuracy,response time
1,25,male,phd,4,13,1,4094
1,25,male,phd,4,14,1,8253
1,25,male,phd,4,20,1,4471
1,25,male,phd,4,21,0,5657
2,19,other,junior,0,13,1,6643
2,19,other,junior,0,14,1,4396
2,19,other,junior,0,20,1,7653
2,19,other,junior,0,21,1,7789
3,26,female,phd,2,13,1,46155
3,26,female,phd,2,14,0,3836
3,26,female,phd,2,20,1,6247
3,26,female,phd,2,21,0,1424
4,31,male,phd,4,13,1,6840
4,31,male,phd,4,14,1,4872
4,31,male,phd,4,20,1,5725
4,31,male,phd,4,21,1,6084
5,28,male,phd,5+,13,1,8101
5,28,male,phd,5+,14,1,20976
5,28,male,phd,5+,20,1,33284
5,28,male,phd,5+,21,1,8398
6,27,female,master,3,13,1,18216
6,27,female,master,3,14,1,18642
6,27,female,master,3,20,1,19089
6,27,female,master,3,21,0,91
7,28,male,master,5+,13,0,6732
7,28,male,master,5+,14,1,11021
7,28,male,master,5+,20,0,14618
7,28,male,master,5+,21,1,12967
8,27,male,professional,5+,13,1,2778
8,27,male,professional,5+,14,1,7255
8,27,male,professional,5+,20,0,2000
8,27,male,professional,5+,21,1,2135
9,26,male,professional,0,13,1,22367
9,26,male,professional,0,14,1,9824
9,26,male,professional,0,20,0,3295
9,26,male,professional,0,21,0,1616
10,20,female,senior,0,13,1,9882
10,20,female,senior,0,14,1,8623
10,20,female,senior,0,20,1,1066
10,20,female,senior,0,21,1,10148
11,27,male,master,2,13,1,11593
11,27,male,master,2,14,0,9034
11,27,male,master,2,20,0,9411
11,27,male,master,2,21,0,9126
12,27,male,master,3,13,0,868
12,27,male,master,3,14,0,638
12,27,male,master,3,20,0,740
12,27,male,master,3,21,0,7432
13,28,male,phd,0,13,1,14024
13,28,male,phd,0,14,1,5767
13,28,male,phd,0,20,1,6871
13,28,male,phd,0,21,1,7912
14,23,male,master,1,13,0,5855
14,23,male,master,1,14,1,2468
14,23,male,master,1,20,0,4758
14,23,male,master,1,21,0,1749
15,29,male,freshman,4,13,1,4581
15,29,male,freshman,4,14,1,5084
15,29,male,freshman,4,20,1,8115
15,29,male,freshman,4,21,1,11147
16,26,male,master,2,13,1,18511
16,26,male,master,2,14,0,18187
16,26,male,master,2,20,1,34836
16,26,male,master,2,21,1,15985
17,21,male,freshman,2,13,1,34223
17,21,male,freshman,2,14,1,23153
17,21,male,freshman,2,20,1,19203
17,21,male,freshman,2,21,1,2767
18,25,male,master,2,13,1,23799
18,25,male,master,2,14,1,14894
18,25,male,master,2,20,1,1743
18,25,male,master,2,21,0,16423
19,22,male,senior,2,13,0,51993
19,22,male,senior,2,14,1,24404
19,22,male,senior,2,20,0,15844
19,22,male,senior,2,21,1,5660
20,27,female,master,0,13,1,16834
20,27,female,master,0,14,1,20148
20,27,female,master,0,20,1,19825
20,27,female,master,0,21,1,6112
21,30,male,phd,5+,13,0,26585
21,30,male,phd,5+,14,1,24383
21,30,male,phd,5+,20,1,11279
21,30,male,phd,5+,21,1,9568
22,26,male,master,4,13,1,7303
22,26,male,master,4,14,1,9411
22,26,male,master,4,20,1,13949
22,26,male,master,4,21,1,8266
23,25,male,phd,4,13,0,8773
23,25,male,phd,4,14,0,8010
23,25,male,phd,4,20,0,9190
23,25,male,phd,4,21,1,3941
24,26,male,freshman,1,13,0,3787
24,26,male,freshman,1,14,1,1636
24,26,male,freshman,1,20,0,15186
24,26,male,freshman,1,21,1,2960
