participants,age,gender,academic_status,prof_exp_years,operators,accuracy,response time
1,25,male,phd,4,12,0,8144
1,25,male,phd,4,15,1,100
1,25,male,phd,4,18,0,3646
1,25,male,phd,4,23,1,1858
2,19,other,junior,0,12,1,9035
2,19,other,junior,0,15,1,2892
2,19,other,junior,0,18,1,1859
2,19,other,junior,0,23,1,3019
3,26,female,phd,2,12,1,11249
3,26,female,phd,2,15,0,806
3,26,female,phd,2,18,1,3596
3,26,female,phd,2,23,0,975
4,31,male,phd,4,12,1,11318
4,31,male,phd,4,15,1,8297
4,31,male,phd,4,18,1,3740
4,31,male,phd,4,23,1,4118
5,28,male,phd,5+,12,1,10368
5,28,male,phd,5+,15,1,6205
5,28,male,phd,5+,18,1,6866
5,28,male,phd,5+,23,1,5472
6,27,female,master,3,12,0,3885
6,27,female,master,3,15,0,3432
6,27,female,master,3,18,1,8881
6,27,female,master,3,23,0,1766
7,28,male,master,5+,12,0,6583
7,28,male,master,5+,15,1,5558
7,28,male,master,5+,18,1,3623
7,28,male,master,5+,23,1,1952
8,27,male,professional,5+,12,1,13926
8,27,male,professional,5+,15,1,2442
8,27,male,professional,5+,18,1,4313
8,27,male,professional,5+,23,0,3285
9,26,male,professional,0,12,0,1128
9,26,male,professional,0,15,1,3215
9,26,male,professional,0,18,1,4528
9,26,male,professional,0,23,1,5057
10,20,female,senior,0,12,0,4526
10,20,female,senior,0,15,1,6800
10,20,female,senior,0,18,1,2494
10,20,female,senior,0,23,1,2332
11,27,male,master,2,12,1,11552
11,27,male,master,2,15,0,9188
11,27,male,master,2,18,1,8553
11,27,male,master,2,23,0,8743
12,27,male,master,3,12,0,1031
12,27,male,master,3,15,0,489
12,27,male,master,3,18,1,726
12,27,male,master,3,23,0,474
13,28,male,phd,0,12,1,14200
13,28,male,phd,0,15,1,8295
13,28,male,phd,0,18,1,6271
13,28,male,phd,0,23,1,9272
14,23,male,master,1,12,1,18662
14,23,male,master,1,15,0,2271
14,23,male,master,1,18,0,3054
14,23,male,master,1,23,0,1723
15,29,male,freshman,4,12,1,8926
15,29,male,freshman,4,15,1,3937
15,29,male,freshman,4,18,1,2452
15,29,male,freshman,4,23,1,2995
16,26,male,master,2,12,1,35174
16,26,male,master,2,15,1,12568
16,26,male,master,2,18,1,15534
16,26,male,master,2,23,1,9938
17,21,male,freshman,2,12,1,17628
17,21,male,freshman,2,15,1,23491
17,21,male,freshman,2,18,1,5781
17,21,male,freshman,2,23,1,12094
18,25,male,master,2,12,1,14494
18,25,male,master,2,15,1,10631
18,25,male,master,2,18,1,4384
18,25,male,master,2,23,1,4144
19,22,male,senior,2,12,1,21850
19,22,male,senior,2,15,1,12600
19,22,male,senior,2,18,1,11670
19,22,male,senior,2,23,1,14605
20,27,female,master,0,12,0,38554
20,27,female,master,0,15,1,7412
20,27,female,master,0,18,1,16537
20,27,female,master,0,23,1,29169
21,30,male,phd,5+,12,1,6365
21,30,male,phd,5+,15,1,3282
21,30,male,phd,5+,18,1,3516
21,30,male,phd,5+,23,1,5623
22,26,male,master,4,12,0,10536
22,26,male,master,4,15,1,15062
22,26,male,master,4,18,1,4645
22,26,male,master,4,23,1,7295
23,25,male,phd,4,12,1,6710
23,25,male,phd,4,15,1,8895
23,25,male,phd,4,18,0,4430
23,25,male,phd,4,23,1,7233
24,26,male,freshman,1,12,1,5545
24,26,male,freshman,1,15,1,8568
24,26,male,freshman,1,18,1,8637
24,26,male,freshman,1,23,1,4456
