participants,age,gender,academic_status,prof_exp_years,operators,accuracy,response time
1,25,male,phd,4,3,1,8796
1,25,male,phd,4,6,1,4186
1,25,male,phd,4,9,1,12980
2,19,other,junior,0,3,1,6373
2,19,other,junior,0,6,1,2303
2,19,other,junior,0,9,1,5695
3,26,female,phd,2,3,1,11861
3,26,female,phd,2,6,1,11376
3,26,female,phd,2,9,1,14869
4,31,male,phd,4,3,1,8756
4,31,male,phd,4,6,1,11336
4,31,male,phd,4,9,1,6651
5,28,male,phd,5+,3,1,15601
5,28,male,phd,5+,6,1,9391
5,28,male,phd,5+,9,1,29359
6,27,female,master,3,3,1,32649
6,27,female,master,3,6,1,21810
6,27,female,master,3,9,1,17490
7,28,male,master,5+,3,0,6554
7,28,male,master,5+,6,1,12342
7,28,male,master,5+,9,1,4316
8,27,male,professional,5+,3,1,11930
8,27,male,professional,5+,6,1,9669
8,27,male,professional,5+,9,0,12001
9,26,male,professional,0,3,1,11464
9,26,male,professional,0,6,1,5576
9,26,male,professional,0,9,1,20216
10,20,female,senior,0,3,1,10325
10,20,female,senior,0,6,1,5559
10,20,female,senior,0,9,1,7826
11,27,male,master,2,3,1,23432
11,27,male,master,2,6,1,10782
11,27,male,master,2,9,1,8854
12,27,male,master,3,3,1,12796
12,27,male,master,3,6,1,5968
12,27,male,master,3,9,0,1603
13,28,male,phd,0,3,1,11312
13,28,male,phd,0,6,1,11823
13,28,male,phd,0,9,1,23958
14,23,male,master,1,3,1,1688
14,23,male,master,1,6,1,4586
14,23,male,master,1,9,0,3140
15,29,male,freshman,4,3,1,7377
15,29,male,freshman,4,6,1,2996
15,29,male,freshman,4,9,1,8810
16,26,male,master,2,3,1,57601
16,26,male,master,2,6,1,28578
16,26,male,master,2,9,1,14413
17,21,male,freshman,2,3,0,37914
17,21,male,freshman,2,6,1,7098
17,21,male,freshman,2,9,1,4668
18,25,male,master,2,3,1,13433
18,25,male,master,2,6,1,8735
18,25,male,master,2,9,1,24281
19,22,male,senior,2,3,1,21399
19,22,male,senior,2,6,1,5650
19,22,male,senior,2,9,1,13661
20,27,female,master,0,3,1,27553
20,27,female,master,0,6,1,7086
20,27,female,master,0,9,1,17389
21,30,male,phd,5+,3,1,57038
21,30,male,phd,5+,6,1,10877
21,30,male,phd,5+,9,1,5584
22,26,male,master,4,3,1,5515
22,26,male,master,4,6,1,7521
22,26,male,master,4,9,1,3982
23,25,male,phd,4,3,0,10839
23,25,male,phd,4,6,1,7456
23,25,male,phd,4,9,1,10142
24,26,male,freshman,1,3,0,178
24,26,male,freshman,1,6,1,8301
24,26,male,freshman,1,9,0,6069
