participant,age,gender,academic_status,prof_exp_years,acc_rshift1,acc_rshift2,acc_rshift3,acc_rshift4,res_rshift1,res_rshift2,res_rshift3,res_rshift4
1,25,male,phd,4,0,0,0,1,4729,139,5886,5631
2,19,other,junior,0,1,1,1,1,5769,3713,5554,7178
3,26,female,phd,2,0,0,0,1,2336,791,574,287
4,31,male,phd,4,1,1,1,1,5690,5685,8111,5807
5,28,male,phd,5+,1,1,1,1,19320,8906,7911,9485
6,27,female,master,3,1,0,1,0,16540,31421,16866,3135
7,28,male,master,5+,1,1,1,1,16940,3904,8457,6109
8,27,male,professional,5+,1,0,0,0,1765,5169,4758,3435
9,26,male,professional,0,1,1,0,1,6776,4735,2873,8007
10,20,female,senior,0,1,1,0,1,8958,5490,1264,4798
11,27,male,master,2,1,1,0,1,18365,10470,10167,14601
12,27,male,master,3,1,1,1,1,560,726,410,403
13,28,male,phd,0,1,1,1,1,13375,9424,7431,6640
14,23,male,master,1,0,1,1,1,1384,2647,2118,3311
15,29,male,freshman,4,1,1,1,1,8776,9052,4651,4110
16,26,male,master,2,1,1,1,1,18734,19957,24100,18109
17,21,male,freshman,2,1,1,1,1,12883,2936,6491,3037
18,25,male,master,2,0,1,1,1,2548,6011,1512,9070
19,22,male,senior,2,1,1,1,1,8073,22133,31171,21471
20,27,female,master,0,0,1,1,1,47241,13360,42691,15689
21,30,male,phd,5+,1,1,1,1,8982,18349,9755,7219
22,26,male,master,4,1,1,1,1,6823,4315,4803,4118
23,25,male,phd,4,0,1,1,0,13887,7016,2450,6962
24,26,male,freshman,1,1,1,1,1,17306,7934,8170,4357
