participants,age,gender,academic_status,prof_exp_years,operators,accuracy,response time
1,25,male,phd,4,17,0,4729
1,25,male,phd,4,24,0,139
1,25,male,phd,4,25,0,5886
1,25,male,phd,4,27,1,5631
2,19,other,junior,0,17,1,5769
2,19,other,junior,0,24,1,3713
2,19,other,junior,0,25,1,5554
2,19,other,junior,0,27,1,7178
3,26,female,phd,2,17,0,2336
3,26,female,phd,2,24,0,791
3,26,female,phd,2,25,0,574
3,26,female,phd,2,27,1,287
4,31,male,phd,4,17,1,5690
4,31,male,phd,4,24,1,5685
4,31,male,phd,4,25,1,8111
4,31,male,phd,4,27,1,5807
5,28,male,phd,5+,17,1,19320
5,28,male,phd,5+,24,1,8906
5,28,male,phd,5+,25,1,7911
5,28,male,phd,5+,27,1,9485
6,27,female,master,3,17,1,16540
6,27,female,master,3,24,0,31421
6,27,female,master,3,25,1,16866
6,27,female,master,3,27,0,3135
7,28,male,master,5+,17,1,16940
7,28,male,master,5+,24,1,3904
7,28,male,master,5+,25,1,8457
7,28,male,master,5+,27,1,6109
8,27,male,professional,5+,17,1,1765
8,27,male,professional,5+,24,0,5169
8,27,male,professional,5+,25,0,4758
8,27,male,professional,5+,27,0,3435
9,26,male,professional,0,17,1,6776
9,26,male,professional,0,24,1,4735
9,26,male,professional,0,25,0,2873
9,26,male,professional,0,27,1,8007
10,20,female,senior,0,17,1,8958
10,20,female,senior,0,24,1,5490
10,20,female,senior,0,25,0,1264
10,20,female,senior,0,27,1,4798
11,27,male,master,2,17,1,18365
11,27,male,master,2,24,1,10470
11,27,male,master,2,25,0,10167
11,27,male,master,2,27,1,14601
12,27,male,master,3,17,1,560
12,27,male,master,3,24,1,726
12,27,male,master,3,25,1,410
12,27,male,master,3,27,1,403
13,28,male,phd,0,17,1,13375
13,28,male,phd,0,24,1,9424
13,28,male,phd,0,25,1,7431
13,28,male,phd,0,27,1,6640
14,23,male,master,1,17,0,1384
14,23,male,master,1,24,1,2647
14,23,male,master,1,25,1,2118
14,23,male,master,1,27,1,3311
15,29,male,freshman,4,17,1,8776
15,29,male,freshman,4,24,1,9052
15,29,male,freshman,4,25,1,4651
15,29,male,freshman,4,27,1,4110
16,26,male,master,2,17,1,18734
16,26,male,master,2,24,1,19957
16,26,male,master,2,25,1,24100
16,26,male,master,2,27,1,18109
17,21,male,freshman,2,17,1,12883
17,21,male,freshman,2,24,1,2936
17,21,male,freshman,2,25,1,6491
17,21,male,freshman,2,27,1,3037
18,25,male,master,2,17,0,2548
18,25,male,master,2,24,1,6011
18,25,male,master,2,25,1,1512
18,25,male,master,2,27,1,9070
19,22,male,senior,2,17,1,8073
19,22,male,senior,2,24,1,22133
19,22,male,senior,2,25,1,31171
19,22,male,senior,2,27,1,21471
20,27,female,master,0,17,0,47241
20,27,female,master,0,24,1,13360
20,27,female,master,0,25,1,42691
20,27,female,master,0,27,1,15689
21,30,male,phd,5+,17,1,8982
21,30,male,phd,5+,24,1,18349
21,30,male,phd,5+,25,1,9755
21,30,male,phd,5+,27,1,7219
22,26,male,master,4,17,1,6823
22,26,male,master,4,24,1,4315
22,26,male,master,4,25,1,4803
22,26,male,master,4,27,1,4118
23,25,male,phd,4,17,0,13887
23,25,male,phd,4,24,1,7016
23,25,male,phd,4,25,1,2450
23,25,male,phd,4,27,0,6962
24,26,male,freshman,1,17,1,17306
24,26,male,freshman,1,24,1,7934
24,26,male,freshman,1,25,1,8170
24,26,male,freshman,1,27,1,4357
