participant,age,gender,academic_status,prof_exp_years,acc_xor1,acc_xor2,acc_xor3,acc_xor4,res_xor1,res_xor2,res_xor3,res_xor4
1,25,male,phd,4,0,1,1,0,3069,11369,5718,15669
2,19,other,junior,0,1,1,1,1,7145,19962,5103,8065
3,26,female,phd,2,1,1,1,1,105868,10954,94702,15821
4,31,male,phd,4,1,1,1,0,21934,19663,36775,4577
5,28,male,phd,5+,1,1,1,1,6452,28420,29540,27012
6,27,female,master,3,1,1,1,1,16310,16063,14651,17060
7,28,male,master,5+,1,0,0,1,12015,7275,10448,10659
8,27,male,professional,5+,1,1,1,0,23662,1784,6061,7237
9,26,male,professional,0,1,1,1,0,12640,11215,15176,11471
10,20,female,senior,0,1,1,1,1,3995,17368,5992,4750
11,27,male,master,2,1,1,1,0,25895,10829,8990,9043
12,27,male,master,3,1,0,0,0,9431,5776,8072,446
13,28,male,phd,0,1,1,1,1,59056,19400,10024,16841
14,23,male,master,1,1,1,0,1,5797,1736,6497,1549
15,29,male,freshman,4,1,1,1,1,7542,9004,14479,4517
16,26,male,master,2,1,1,1,1,15769,13243,14825,13712
17,21,male,freshman,2,1,1,1,1,11137,24638,5073,28881
18,25,male,master,2,1,1,0,1,20605,15360,35351,5172
19,22,male,senior,2,1,1,1,1,10104,56931,9396,21778
20,27,female,master,0,1,1,1,1,24692,33902,7887,13518
21,30,male,phd,5+,1,1,1,1,9610,8835,23133,11023
22,26,male,master,4,1,1,0,1,24242,9846,6084,17769
23,25,male,phd,4,1,1,0,0,6217,8705,3800,3073
24,26,male,freshman,1,1,0,0,1,37862,9568,16141,7344
