participants,age,gender,academic_status,prof_exp_years,operators,accuracy,response time
1,25,male,phd,4,7,0,3069
1,25,male,phd,4,8,1,11369
1,25,male,phd,4,10,1,5718
1,25,male,phd,4,19,0,15669
2,19,other,junior,0,7,1,7145
2,19,other,junior,0,8,1,19962
2,19,other,junior,0,10,1,5103
2,19,other,junior,0,19,1,8065
3,26,female,phd,2,7,1,105868
3,26,female,phd,2,8,1,10954
3,26,female,phd,2,10,1,94702
3,26,female,phd,2,19,1,15821
4,31,male,phd,4,7,1,21934
4,31,male,phd,4,8,1,19663
4,31,male,phd,4,10,1,36775
4,31,male,phd,4,19,0,4577
5,28,male,phd,5+,7,1,6452
5,28,male,phd,5+,8,1,28420
5,28,male,phd,5+,10,1,29540
5,28,male,phd,5+,19,1,27012
6,27,female,master,3,7,1,16310
6,27,female,master,3,8,1,16063
6,27,female,master,3,10,1,14651
6,27,female,master,3,19,1,17060
7,28,male,master,5+,7,1,12015
7,28,male,master,5+,8,0,7275
7,28,male,master,5+,10,0,10448
7,28,male,master,5+,19,1,10659
8,27,male,professional,5+,7,1,23662
8,27,male,professional,5+,8,1,1784
8,27,male,professional,5+,10,1,6061
8,27,male,professional,5+,19,0,7237
9,26,male,professional,0,7,1,12640
9,26,male,professional,0,8,1,11215
9,26,male,professional,0,10,1,15176
9,26,male,professional,0,19,0,11471
10,20,female,senior,0,7,1,3995
10,20,female,senior,0,8,1,17368
10,20,female,senior,0,10,1,5992
10,20,female,senior,0,19,1,4750
11,27,male,master,2,7,1,25895
11,27,male,master,2,8,1,10829
11,27,male,master,2,10,1,8990
11,27,male,master,2,19,0,9043
12,27,male,master,3,7,1,9431
12,27,male,master,3,8,0,5776
12,27,male,master,3,10,0,8072
12,27,male,master,3,19,0,446
13,28,male,phd,0,7,1,59056
13,28,male,phd,0,8,1,19400
13,28,male,phd,0,10,1,10024
13,28,male,phd,0,19,1,16841
14,23,male,master,1,7,1,5797
14,23,male,master,1,8,1,1736
14,23,male,master,1,10,0,6497
14,23,male,master,1,19,1,1549
15,29,male,freshman,4,7,1,7542
15,29,male,freshman,4,8,1,9004
15,29,male,freshman,4,10,1,14479
15,29,male,freshman,4,19,1,4517
16,26,male,master,2,7,1,15769
16,26,male,master,2,8,1,13243
16,26,male,master,2,10,1,14825
16,26,male,master,2,19,1,13712
17,21,male,freshman,2,7,1,11137
17,21,male,freshman,2,8,1,24638
17,21,male,freshman,2,10,1,5073
17,21,male,freshman,2,19,1,28881
18,25,male,master,2,7,1,20605
18,25,male,master,2,8,1,15360
18,25,male,master,2,10,0,35351
18,25,male,master,2,19,1,5172
19,22,male,senior,2,7,1,10104
19,22,male,senior,2,8,1,56931
19,22,male,senior,2,10,1,9396
19,22,male,senior,2,19,1,21778
20,27,female,master,0,7,1,24692
20,27,female,master,0,8,1,33902
20,27,female,master,0,10,1,7887
20,27,female,master,0,19,1,13518
21,30,male,phd,5+,7,1,9610
21,30,male,phd,5+,8,1,8835
21,30,male,phd,5+,10,1,23133
21,30,male,phd,5+,19,1,11023
22,26,male,master,4,7,1,24242
22,26,male,master,4,8,1,9846
22,26,male,master,4,10,0,6084
22,26,male,master,4,19,1,17769
23,25,male,phd,4,7,1,6217
23,25,male,phd,4,8,1,8705
23,25,male,phd,4,10,0,3800
23,25,male,phd,4,19,0,3073
24,26,male,freshman,1,7,1,37862
24,26,male,freshman,1,8,0,9568
24,26,male,freshman,1,10,0,16141
24,26,male,freshman,1,19,1,7344
