participants,age,gender,academic_status,prof_exp_years,operators,accuracy,response time
1,25,male,phd,4,1,0,4810
1,25,male,phd,4,2,1,4237
1,25,male,phd,4,3,1,8796
1,25,male,phd,4,4,1,2848
1,25,male,phd,4,5,0,8228
1,25,male,phd,4,6,1,4186
1,25,male,phd,4,7,0,3069
1,25,male,phd,4,8,1,11369
1,25,male,phd,4,9,1,12980
1,25,male,phd,4,10,1,5718
1,25,male,phd,4,11,0,4950
1,25,male,phd,4,12,0,8144
1,25,male,phd,4,13,1,4094
1,25,male,phd,4,14,1,8253
1,25,male,phd,4,15,1,100
1,25,male,phd,4,16,1,7093
1,25,male,phd,4,17,0,4729
1,25,male,phd,4,18,0,3646
1,25,male,phd,4,19,0,15669
1,25,male,phd,4,20,1,4471
1,25,male,phd,4,21,0,5657
1,25,male,phd,4,22,1,7652
1,25,male,phd,4,23,1,1858
1,25,male,phd,4,24,0,139
1,25,male,phd,4,25,0,5886
1,25,male,phd,4,26,0,9324
1,25,male,phd,4,27,1,5631
2,19,other,junior,0,1,1,4478
2,19,other,junior,0,2,0,30343
2,19,other,junior,0,3,1,6373
2,19,other,junior,0,4,1,5002
2,19,other,junior,0,5,1,16492
2,19,other,junior,0,6,1,2303
2,19,other,junior,0,7,1,7145
2,19,other,junior,0,8,1,19962
2,19,other,junior,0,9,1,5695
2,19,other,junior,0,10,1,5103
2,19,other,junior,0,11,1,35053
2,19,other,junior,0,12,1,9035
2,19,other,junior,0,13,1,6643
2,19,other,junior,0,14,1,4396
2,19,other,junior,0,15,1,2892
2,19,other,junior,0,16,1,4781
2,19,other,junior,0,17,1,5769
2,19,other,junior,0,18,1,1859
2,19,other,junior,0,19,1,8065
2,19,other,junior,0,20,1,7653
2,19,other,junior,0,21,1,7789
2,19,other,junior,0,22,0,14861
2,19,other,junior,0,23,1,3019
2,19,other,junior,0,24,1,3713
2,19,other,junior,0,25,1,5554
2,19,other,junior,0,26,1,19807
2,19,other,junior,0,27,1,7178
3,26,female,phd,2,1,1,263
3,26,female,phd,2,2,0,722
3,26,female,phd,2,3,1,11861
3,26,female,phd,2,4,1,6262
3,26,female,phd,2,5,1,12427
3,26,female,phd,2,6,1,11376
3,26,female,phd,2,7,1,105868
3,26,female,phd,2,8,1,10954
3,26,female,phd,2,9,1,14869
3,26,female,phd,2,10,1,94702
3,26,female,phd,2,11,0,9889
3,26,female,phd,2,12,1,11249
3,26,female,phd,2,13,1,46155
3,26,female,phd,2,14,0,3836
3,26,female,phd,2,15,0,806
3,26,female,phd,2,16,1,34974
3,26,female,phd,2,17,0,2336
3,26,female,phd,2,18,1,3596
3,26,female,phd,2,19,1,15821
3,26,female,phd,2,20,1,6247
3,26,female,phd,2,21,0,1424
3,26,female,phd,2,22,1,1262
3,26,female,phd,2,23,0,975
3,26,female,phd,2,24,0,791
3,26,female,phd,2,25,0,574
3,26,female,phd,2,26,1,434
3,26,female,phd,2,27,1,287
4,31,male,phd,4,1,1,7635
4,31,male,phd,4,2,1,16670
4,31,male,phd,4,3,1,8756
4,31,male,phd,4,4,1,8389
4,31,male,phd,4,5,1,29015
4,31,male,phd,4,6,1,11336
4,31,male,phd,4,7,1,21934
4,31,male,phd,4,8,1,19663
4,31,male,phd,4,9,1,6651
4,31,male,phd,4,10,1,36775
4,31,male,phd,4,11,0,6892
4,31,male,phd,4,12,1,11318
4,31,male,phd,4,13,1,6840
4,31,male,phd,4,14,1,4872
4,31,male,phd,4,15,1,8297
4,31,male,phd,4,16,1,8799
4,31,male,phd,4,17,1,5690
4,31,male,phd,4,18,1,3740
4,31,male,phd,4,19,0,4577
4,31,male,phd,4,20,1,5725
4,31,male,phd,4,21,1,6084
4,31,male,phd,4,22,1,13351
4,31,male,phd,4,23,1,4118
4,31,male,phd,4,24,1,5685
4,31,male,phd,4,25,1,8111
4,31,male,phd,4,26,1,19920
4,31,male,phd,4,27,1,5807
5,28,male,phd,5+,1,1,5035
5,28,male,phd,5+,2,1,6075
5,28,male,phd,5+,3,1,15601
5,28,male,phd,5+,4,1,9493
5,28,male,phd,5+,5,1,6926
5,28,male,phd,5+,6,1,9391
5,28,male,phd,5+,7,1,6452
5,28,male,phd,5+,8,1,28420
5,28,male,phd,5+,9,1,29359
5,28,male,phd,5+,10,1,29540
5,28,male,phd,5+,11,1,14114
5,28,male,phd,5+,12,1,10368
5,28,male,phd,5+,13,1,8101
5,28,male,phd,5+,14,1,20976
5,28,male,phd,5+,15,1,6205
5,28,male,phd,5+,16,1,13730
5,28,male,phd,5+,17,1,19320
5,28,male,phd,5+,18,1,6866
5,28,male,phd,5+,19,1,27012
5,28,male,phd,5+,20,1,33284
5,28,male,phd,5+,21,1,8398
5,28,male,phd,5+,22,1,12337
5,28,male,phd,5+,23,1,5472
5,28,male,phd,5+,24,1,8906
5,28,male,phd,5+,25,1,7911
5,28,male,phd,5+,26,1,6538
5,28,male,phd,5+,27,1,9485
6,27,female,master,3,1,1,15904
6,27,female,master,3,2,1,20888
6,27,female,master,3,3,1,32649
6,27,female,master,3,4,1,16357
6,27,female,master,3,5,1,17115
6,27,female,master,3,6,1,21810
6,27,female,master,3,7,1,16310
6,27,female,master,3,8,1,16063
6,27,female,master,3,9,1,17490
6,27,female,master,3,10,1,14651
6,27,female,master,3,11,1,3748
6,27,female,master,3,12,0,3885
6,27,female,master,3,13,1,18216
6,27,female,master,3,14,1,18642
6,27,female,master,3,15,0,3432
6,27,female,master,3,16,1,17316
6,27,female,master,3,17,1,16540
6,27,female,master,3,18,1,8881
6,27,female,master,3,19,1,17060
6,27,female,master,3,20,1,19089
6,27,female,master,3,21,0,91
6,27,female,master,3,22,1,34470
6,27,female,master,3,23,0,1766
6,27,female,master,3,24,0,31421
6,27,female,master,3,25,1,16866
6,27,female,master,3,26,0,14417
6,27,female,master,3,27,0,3135
7,28,male,master,5+,1,0,5114
7,28,male,master,5+,2,1,9303
7,28,male,master,5+,3,0,6554
7,28,male,master,5+,4,1,17261
7,28,male,master,5+,5,0,19155
7,28,male,master,5+,6,1,12342
7,28,male,master,5+,7,1,12015
7,28,male,master,5+,8,0,7275
7,28,male,master,5+,9,1,4316
7,28,male,master,5+,10,0,10448
7,28,male,master,5+,11,1,6156
7,28,male,master,5+,12,0,6583
7,28,male,master,5+,13,0,6732
7,28,male,master,5+,14,1,11021
7,28,male,master,5+,15,1,5558
7,28,male,master,5+,16,1,17253
7,28,male,master,5+,17,1,16940
7,28,male,master,5+,18,1,3623
7,28,male,master,5+,19,1,10659
7,28,male,master,5+,20,0,14618
7,28,male,master,5+,21,1,12967
7,28,male,master,5+,22,0,3877
7,28,male,master,5+,23,1,1952
7,28,male,master,5+,24,1,3904
7,28,male,master,5+,25,1,8457
7,28,male,master,5+,26,1,5711
7,28,male,master,5+,27,1,6109
8,27,male,professional,5+,1,0,3266
8,27,male,professional,5+,2,1,2897
8,27,male,professional,5+,3,1,11930
